Team,Result,Margin,BR,Toss,Bat,Opposition,Ground,Date
Australia,won,3 wickets,5,lost,2nd,South Africa,Port Elizabeth,6-Apr-02
South Africa,lost,3 wickets,5,won,1st,Australia,Port Elizabeth,6-Apr-02
Sri Lanka,won,41 runs,0,won,1st,Pakistan,Sharjah,8-Apr-02
Pakistan,lost,41 runs,0,lost,2nd,Sri Lanka,Sharjah,8-Apr-02
New Zealand,won,11 runs,0,won,1st,Sri Lanka,Sharjah,9-Apr-02
Sri Lanka,lost,11 runs,0,lost,2nd,New Zealand,Sharjah,9-Apr-02
South Africa,won,65 runs,0,lost,1st,Australia,Cape Town,9-Apr-02
Australia,lost,65 runs,0,won,2nd,South Africa,Cape Town,9-Apr-02
Pakistan,won,51 runs,0,won,1st,New Zealand,Sharjah,11-Apr-02
New Zealand,lost,51 runs,0,lost,2nd,Pakistan,Sharjah,11-Apr-02
Sri Lanka,won,9 runs,0,won,1st,Pakistan,Sharjah,12-Apr-02
Pakistan,lost,9 runs,0,lost,2nd,Sri Lanka,Sharjah,12-Apr-02
Sri Lanka,won,46 runs,0,won,1st,New Zealand,Sharjah,14-Apr-02
New Zealand,lost,46 runs,0,lost,2nd,Sri Lanka,Sharjah,14-Apr-02
Pakistan,won,8 wickets,105,lost,2nd,New Zealand,Sharjah,15-Apr-02
New Zealand,lost,8 wickets,105,won,1st,Pakistan,Sharjah,15-Apr-02
Pakistan,won,217 runs,0,won,1st,Sri Lanka,Sharjah,17-Apr-02
Sri Lanka,lost,217 runs,0,lost,2nd,Pakistan,Sharjah,17-Apr-02
Pakistan,won,153 runs,0,won,1st,New Zealand,Karachi,21-Apr-02
New Zealand,lost,153 runs,0,lost,2nd,Pakistan,Karachi,21-Apr-02
Pakistan,won,3 wickets,17,lost,2nd,New Zealand,Rawalpindi,24-Apr-02
New Zealand,lost,3 wickets,17,won,1st,Pakistan,Rawalpindi,24-Apr-02
Pakistan,won,66 runs,0,won,1st,New Zealand,Lahore,27-Apr-02
New Zealand,lost,66 runs,0,lost,2nd,Pakistan,Lahore,27-Apr-02
India,won,7 wickets,31,won,2nd,West Indies,Bridgetown,29-May-02
West Indies,lost,7 wickets,31,lost,1st,India,Bridgetown,29-May-02
West Indies,won,7 wickets,17,lost,2nd,India,Port of Spain,1-Jun-02
India,lost,7 wickets,17,won,1st,West Indies,Port of Spain,1-Jun-02
India,won,56 runs,0,won,1st,West Indies,Port of Spain,2-Jun-02
West Indies,lost,56 runs,0,lost,2nd,India,Port of Spain,2-Jun-02
West Indies,won,6 wickets,5,won,2nd,New Zealand,Gros Islet,8-Jun-02
New Zealand,lost,6 wickets,5,lost,1st,West Indies,Gros Islet,8-Jun-02
West Indies,won,7 wickets,60,lost,2nd,New Zealand,Gros Islet,9-Jun-02
New Zealand,lost,7 wickets,60,won,1st,West Indies,Gros Islet,9-Jun-02
Australia,won,7 wickets,103,won,2nd,Pakistan,Melbourne (Docklands),12-Jun-02
Pakistan,lost,7 wickets,103,lost,1st,Australia,Melbourne (Docklands),12-Jun-02
New Zealand,won,9 runs,0,won,1st,West Indies,Port of Spain,12-Jun-02
West Indies,lost,9 runs,0,lost,2nd,New Zealand,Port of Spain,12-Jun-02
Pakistan,won,2 wickets,7,lost,2nd,Australia,Melbourne (Docklands),15-Jun-02
Australia,lost,2 wickets,7,won,1st,Pakistan,Melbourne (Docklands),15-Jun-02
West Indies,won,4 wickets,0,lost,2nd,New Zealand,Kingstown,16-Jun-02
New Zealand,lost,4 wickets,0,won,1st,West Indies,Kingstown,16-Jun-02
Pakistan,won,91 runs,0,won,1st,Australia,Brisbane,19-Jun-02
Australia,lost,91 runs,0,lost,2nd,Pakistan,Brisbane,19-Jun-02
England,won,44 runs,0,won,1st,Sri Lanka,Nottingham,27-Jun-02
Sri Lanka,lost,44 runs,0,lost,2nd,England,Nottingham,27-Jun-02
India,won,6 wickets,7,lost,2nd,England,Lord's,29-Jun-02
England,lost,6 wickets,7,won,1st,India,Lord's,29-Jun-02
India,won,4 wickets,28,lost,2nd,Sri Lanka,The Oval,30-Jun-02
Sri Lanka,lost,4 wickets,28,won,1st,India,The Oval,30-Jun-02
England,won,3 wickets,4,won,2nd,Sri Lanka,Leeds,2-Jul-02
Sri Lanka,lost,3 wickets,4,lost,1st,England,Leeds,2-Jul-02
India,won,4 wickets,11,won,2nd,Sri Lanka,Birmingham,6-Jul-02
Sri Lanka,lost,4 wickets,11,lost,1st,India,Birmingham,6-Jul-02
Sri Lanka,won,23 runs,0,won,1st,England,Manchester,7-Jul-02
England,lost,23 runs,0,lost,2nd,Sri Lanka,Manchester,7-Jul-02
England,won,64 runs,0,lost,1st,India,The Oval,9-Jul-02
India,lost,64 runs,0,won,2nd,England,The Oval,9-Jul-02
India,won,63 runs,0,won,1st,Sri Lanka,Bristol,11-Jul-02
Sri Lanka,lost,63 runs,0,lost,2nd,India,Bristol,11-Jul-02
India,won,2 wickets,3,lost,2nd,England,Lord's,13-Jul-02
England,lost,2 wickets,3,won,1st,India,Lord's,13-Jul-02
South Africa,won,54 runs,0,won,1st,Pakistan,Tangier,12-Aug-02
Pakistan,lost,54 runs,0,lost,2nd,South Africa,Tangier,12-Aug-02
Pakistan,won,28 runs,0,lost,1st,Sri Lanka,Tangier,14-Aug-02
Sri Lanka,lost,28 runs,0,won,2nd,Pakistan,Tangier,14-Aug-02
Sri Lanka,won,93 runs,0,won,1st,South Africa,Tangier,15-Aug-02
South Africa,lost,93 runs,0,lost,2nd,Sri Lanka,Tangier,15-Aug-02
Sri Lanka,won,39 runs,0,won,1st,Pakistan,Tangier,17-Aug-02
Pakistan,lost,39 runs,0,lost,2nd,Sri Lanka,Tangier,17-Aug-02
South Africa,won,8 runs,0,won,1st,Pakistan,Tangier,18-Aug-02
Pakistan,lost,8 runs,0,lost,2nd,South Africa,Tangier,18-Aug-02
Sri Lanka,won,6 wickets,47,lost,2nd,South Africa,Tangier,19-Aug-02
South Africa,lost,6 wickets,47,won,1st,Sri Lanka,Tangier,19-Aug-02
Sri Lanka,won,27 runs,0,won,1st,South Africa,Tangier,21-Aug-02
South Africa,lost,27 runs,0,lost,2nd,Sri Lanka,Tangier,21-Aug-02
Australia,won,224 runs,0,lost,1st,Pakistan,Nairobi (Gym),30-Aug-02
Pakistan,lost,224 runs,0,won,2nd,Australia,Nairobi (Gym),30-Aug-02
Australia,won,9 wickets,185,lost,2nd,Pakistan,Nairobi (Gym),4-Sep-02
Pakistan,lost,9 wickets,185,won,1st,Australia,Nairobi (Gym),4-Sep-02
Sri Lanka,won,8 wickets,83,lost,2nd,Pakistan,Colombo (RPS),12-Sep-02
Pakistan,lost,8 wickets,83,won,1st,Sri Lanka,Colombo (RPS),12-Sep-02
South Africa,won,2 wickets,0,won,2nd,West Indies,Colombo (SSC),13-Sep-02
West Indies,lost,2 wickets,0,lost,1st,South Africa,Colombo (SSC),13-Sep-02
Australia,won,164 runs,0,won,1st,New Zealand,Colombo (SSC),15-Sep-02
New Zealand,lost,164 runs,0,lost,2nd,Australia,Colombo (SSC),15-Sep-02
India,won,8 wickets,63,lost,2nd,England,Colombo (RPS),22-Sep-02
England,lost,8 wickets,63,won,1st,India,Colombo (RPS),22-Sep-02
India,won,10 runs,0,won,1st,South Africa,Colombo (RPS),25-Sep-02
South Africa,lost,10 runs,0,lost,2nd,India,Colombo (RPS),25-Sep-02
Sri Lanka,won,7 wickets,60,lost,2nd,Australia,Colombo (RPS),27-Sep-02
Australia,lost,7 wickets,60,won,1st,Sri Lanka,Colombo (RPS),27-Sep-02
West Indies,won,4 wickets,0,lost,2nd,India,Jamshedpur,6-Nov-02
India,lost,4 wickets,0,won,1st,West Indies,Jamshedpur,6-Nov-02
West Indies,won,7 wickets,4,won,2nd,India,Nagpur,9-Nov-02
India,lost,7 wickets,4,lost,1st,West Indies,Nagpur,9-Nov-02
India,won,81 runs,0,won,2nd,West Indies,Rajkot,12-Nov-02
West Indies,lost,81 runs,0,lost,1st,India,Rajkot,12-Nov-02
India,won,5 wickets,14,won,2nd,West Indies,Ahmedabad,15-Nov-02
West Indies,lost,5 wickets,14,lost,1st,India,Ahmedabad,15-Nov-02
West Indies,won,5 wickets,7,won,2nd,India,Vadodara,18-Nov-02
India,lost,5 wickets,7,lost,1st,West Indies,Vadodara,18-Nov-02
India,won,3 wickets,22,won,2nd,West Indies,Jodhpur,21-Nov-02
West Indies,lost,3 wickets,22,lost,1st,India,Jodhpur,21-Nov-02
West Indies,won,135 runs,0,lost,1st,India,Vijayawada,24-Nov-02
India,lost,135 runs,0,won,2nd,West Indies,Vijayawada,24-Nov-02
South Africa,won,6 wickets,123,won,2nd,Sri Lanka,Johannesburg,27-Nov-02
Sri Lanka,lost,6 wickets,123,lost,1st,South Africa,Johannesburg,27-Nov-02
South Africa,won,177 runs,0,won,1st,Sri Lanka,Centurion,29-Nov-02
Sri Lanka,lost,177 runs,0,lost,2nd,South Africa,Centurion,29-Nov-02
Sri Lanka,won,7 wickets,50,won,2nd,South Africa,Benoni,1-Dec-02
South Africa,lost,7 wickets,50,lost,1st,Sri Lanka,Benoni,1-Dec-02
South Africa,won,8 wickets,115,won,2nd,Sri Lanka,Kimberley,4-Dec-02
Sri Lanka,lost,8 wickets,115,lost,1st,South Africa,Kimberley,4-Dec-02
South Africa,won,6 wickets,29,lost,2nd,Sri Lanka,Bloemfontein,6-Dec-02
Sri Lanka,lost,6 wickets,29,won,1st,South Africa,Bloemfontein,6-Dec-02
South Africa,won,132 runs,0,lost,1st,Pakistan,Durban,8-Dec-02
Pakistan,lost,132 runs,0,won,2nd,South Africa,Durban,8-Dec-02
Pakistan,won,182 runs,0,won,1st,South Africa,Port Elizabeth,11-Dec-02
South Africa,lost,182 runs,0,lost,2nd,Pakistan,Port Elizabeth,11-Dec-02
Australia,won,7 wickets,30,lost,2nd,England,Sydney,13-Dec-02
England,lost,7 wickets,30,won,1st,Australia,Sydney,13-Dec-02
South Africa,won,62 runs,0,won,1st,Pakistan,East London,13-Dec-02
Pakistan,lost,62 runs,0,lost,2nd,South Africa,East London,13-Dec-02
Australia,won,89 runs,0,won,1st,England,Melbourne,15-Dec-02
England,lost,89 runs,0,lost,2nd,Australia,Melbourne,15-Dec-02
South Africa,won,9 wickets,48,lost,2nd,Pakistan,Paarl,16-Dec-02
Pakistan,lost,9 wickets,48,won,1st,South Africa,Paarl,16-Dec-02
England,won,43 runs,0,won,1st,Sri Lanka,Brisbane,17-Dec-02
Sri Lanka,lost,43 runs,0,lost,2nd,England,Brisbane,17-Dec-02
South Africa,won,34 runs,0,won,1st,Pakistan,Cape Town,18-Dec-02
Pakistan,lost,34 runs,0,lost,2nd,South Africa,Cape Town,18-Dec-02
England,won,95 runs,0,won,1st,Sri Lanka,Perth,20-Dec-02
Sri Lanka,lost,95 runs,0,lost,2nd,England,Perth,20-Dec-02
Australia,won,142 runs,0,won,1st,Sri Lanka,Perth,22-Dec-02
Sri Lanka,lost,142 runs,0,lost,2nd,Australia,Perth,22-Dec-02
New Zealand,won,3 wickets,74,won,2nd,India,Auckland,26-Dec-02
India,lost,3 wickets,74,lost,1st,New Zealand,Auckland,26-Dec-02
New Zealand,won,35 runs,0,lost,1st,India,Napier,29-Dec-02
India,lost,35 runs,0,won,2nd,New Zealand,Napier,29-Dec-02
New Zealand,won,5 wickets,139,lost,2nd,India,Christchurch,1-Jan-03
India,lost,5 wickets,139,won,1st,New Zealand,Christchurch,1-Jan-03
New Zealand,won,7 wickets,146,won,2nd,India,Queenstown,4-Jan-03
India,lost,7 wickets,146,lost,1st,New Zealand,Queenstown,4-Jan-03
India,won,2 wickets,40,lost,2nd,New Zealand,Wellington,8-Jan-03
New Zealand,lost,2 wickets,40,won,1st,India,Wellington,8-Jan-03
Sri Lanka,won,79 runs,0,lost,1st,Australia,Sydney,9-Jan-03
Australia,lost,79 runs,0,won,2nd,Sri Lanka,Sydney,9-Jan-03
Australia,won,7 runs,0,won,1st,England,Hobart,11-Jan-03
England,lost,7 runs,0,lost,2nd,Australia,Hobart,11-Jan-03
India,won,1 wickets,1,won,2nd,New Zealand,Auckland,11-Jan-03
New Zealand,lost,1 wickets,1,lost,1st,India,Auckland,11-Jan-03
Sri Lanka,won,31 runs,0,won,1st,England,Sydney,13-Jan-03
England,lost,31 runs,0,lost,2nd,Sri Lanka,Sydney,13-Jan-03
New Zealand,won,6 wickets,128,won,2nd,India,Hamilton,14-Jan-03
India,lost,6 wickets,128,lost,1st,New Zealand,Hamilton,14-Jan-03
Australia,won,4 wickets,7,lost,2nd,Sri Lanka,Brisbane,15-Jan-03
Sri Lanka,lost,4 wickets,7,won,1st,Australia,Brisbane,15-Jan-03
England,won,19 runs,0,won,1st,Sri Lanka,Adelaide,17-Jan-03
Sri Lanka,lost,19 runs,0,lost,2nd,England,Adelaide,17-Jan-03
Australia,won,4 wickets,15,lost,2nd,England,Adelaide,19-Jan-03
England,lost,4 wickets,15,won,1st,Australia,Adelaide,19-Jan-03
Australia,won,9 wickets,93,lost,2nd,Sri Lanka,Melbourne,21-Jan-03
Sri Lanka,lost,9 wickets,93,won,1st,Australia,Melbourne,21-Jan-03
Australia,won,10 wickets,226,lost,2nd,England,Sydney,23-Jan-03
England,lost,10 wickets,226,won,1st,Australia,Sydney,23-Jan-03
Australia,won,5 runs,0,won,1st,England,Melbourne,25-Jan-03
England,lost,5 runs,0,lost,2nd,Australia,Melbourne,25-Jan-03
West Indies,won,3 runs,0,won,1st,South Africa,Cape Town,9-Feb-03
South Africa,lost,3 runs,0,lost,2nd,West Indies,Cape Town,9-Feb-03
Sri Lanka,won,47 runs,0,lost,1st,New Zealand,Bloemfontein,10-Feb-03
New Zealand,lost,47 runs,0,won,2nd,Sri Lanka,Bloemfontein,10-Feb-03
Australia,won,82 runs,0,lost,1st,Pakistan,Johannesburg,11-Feb-03
Pakistan,lost,82 runs,0,won,2nd,Australia,Johannesburg,11-Feb-03
New Zealand,won,20 runs,0,lost,1st,West Indies,Port Elizabeth,13-Feb-03
West Indies,lost,20 runs,0,won,2nd,New Zealand,Port Elizabeth,13-Feb-03
Australia,won,9 wickets,166,lost,2nd,India,Centurion,15-Feb-03
India,lost,9 wickets,166,won,1st,Australia,Centurion,15-Feb-03
New Zealand,won,9 wickets,13,lost,2nd,South Africa,Johannesburg,16-Feb-03
South Africa,lost,9 wickets,13,won,1st,New Zealand,Johannesburg,16-Feb-03
England,won,112 runs,0,won,1st,Pakistan,Cape Town,22-Feb-03
Pakistan,lost,112 runs,0,lost,2nd,England,Cape Town,22-Feb-03
India,won,82 runs,0,won,1st,England,Durban,26-Feb-03
England,lost,82 runs,0,lost,2nd,India,Durban,26-Feb-03
Sri Lanka,won,6 runs,0,won,1st,West Indies,Cape Town,28-Feb-03
West Indies,lost,6 runs,0,lost,2nd,Sri Lanka,Cape Town,28-Feb-03
India,won,6 wickets,26,lost,2nd,Pakistan,Centurion,1-Mar-03
Pakistan,lost,6 wickets,26,won,1st,India,Centurion,1-Mar-03
Australia,won,2 wickets,2,lost,2nd,England,Port Elizabeth,2-Mar-03
England,lost,2 wickets,2,won,1st,Australia,Port Elizabeth,2-Mar-03
South Africa,tied,-,0,lost,2nd,Sri Lanka,Durban,3-Mar-03
Sri Lanka,tied,-,0,won,1st,South Africa,Durban,3-Mar-03
Australia,won,96 runs,0,won,1st,Sri Lanka,Centurion,7-Mar-03
Sri Lanka,lost,96 runs,0,lost,2nd,Australia,Centurion,7-Mar-03
India,won,183 runs,0,lost,1st,Sri Lanka,Johannesburg,10-Mar-03
Sri Lanka,lost,183 runs,0,won,2nd,India,Johannesburg,10-Mar-03
Australia,won,96 runs,0,lost,1st,New Zealand,Port Elizabeth,11-Mar-03
New Zealand,lost,96 runs,0,won,2nd,Australia,Port Elizabeth,11-Mar-03
India,won,7 wickets,56,won,2nd,New Zealand,Centurion,14-Mar-03
New Zealand,lost,7 wickets,56,lost,1st,India,Centurion,14-Mar-03
Australia,won,48 runs,0,won,1st,Sri Lanka,Port Elizabeth,18-Mar-03
Sri Lanka,lost,48 runs,0,lost,2nd,Australia,Port Elizabeth,18-Mar-03
Australia,won,125 runs,0,lost,1st,India,Johannesburg,23-Mar-03
India,lost,125 runs,0,won,2nd,Australia,Johannesburg,23-Mar-03
Pakistan,won,7 wickets,16,lost,2nd,Sri Lanka,Sharjah,4-Apr-03
Sri Lanka,lost,7 wickets,16,won,1st,Pakistan,Sharjah,4-Apr-03
India,won,153 runs,0,won,1st,South Africa,Dhaka,13-Apr-03
South Africa,lost,153 runs,0,lost,2nd,India,Dhaka,13-Apr-03
South Africa,won,5 wickets,8,lost,2nd,India,Dhaka,18-Apr-03
India,lost,5 wickets,8,won,1st,South Africa,Dhaka,18-Apr-03
Pakistan,won,79 runs,0,lost,1st,Sri Lanka,Dambulla,10-May-03
Sri Lanka,lost,79 runs,0,won,2nd,Pakistan,Dambulla,10-May-03
New Zealand,won,7 wickets,135,won,2nd,Pakistan,Dambulla,11-May-03
Pakistan,lost,7 wickets,135,lost,1st,New Zealand,Dambulla,11-May-03
Sri Lanka,won,5 wickets,14,won,2nd,New Zealand,Dambulla,13-May-03
New Zealand,lost,5 wickets,14,lost,1st,Sri Lanka,Dambulla,13-May-03
Australia,won,2 runs,0,lost,1st,West Indies,Kingston,17-May-03
West Indies,lost,2 runs,0,won,2nd,Australia,Kingston,17-May-03
Sri Lanka,won,12 runs,0,lost,1st,Pakistan,Dambulla,18-May-03
Pakistan,lost,12 runs,0,won,2nd,Sri Lanka,Dambulla,18-May-03
Australia,won,8 wickets,89,lost,2nd,West Indies,Kingston,18-May-03
West Indies,lost,8 wickets,89,won,1st,Australia,Kingston,18-May-03
New Zealand,won,9 runs,0,lost,1st,Sri Lanka,Dambulla,19-May-03
Sri Lanka,lost,9 runs,0,won,2nd,New Zealand,Dambulla,19-May-03
Pakistan,won,22 runs,0,lost,1st,New Zealand,Dambulla,20-May-03
New Zealand,lost,22 runs,0,won,2nd,Pakistan,Dambulla,20-May-03
Australia,won,25 runs,0,lost,1st,West Indies,Gros Islet,21-May-03
West Indies,lost,25 runs,0,won,2nd,Australia,Gros Islet,21-May-03
New Zealand,won,4 wickets,28,lost,2nd,Pakistan,Dambulla,23-May-03
Pakistan,lost,4 wickets,28,won,1st,New Zealand,Dambulla,23-May-03
Australia,won,67 runs,0,won,1st,West Indies,Port of Spain,24-May-03
West Indies,lost,67 runs,0,lost,2nd,Australia,Port of Spain,24-May-03
West Indies,won,39 runs,0,won,1st,Australia,Port of Spain,25-May-03
Australia,lost,39 runs,0,lost,2nd,West Indies,Port of Spain,25-May-03
West Indies,won,3 wickets,8,lost,2nd,Australia,St George's,30-May-03
Australia,lost,3 wickets,8,won,1st,West Indies,St George's,30-May-03
West Indies,won,9 wickets,39,lost,2nd,Australia,St George's,1-Jun-03
Australia,lost,9 wickets,39,won,1st,West Indies,St George's,1-Jun-03
Sri Lanka,won,55 runs,0,lost,1st,West Indies,Bridgetown,7-Jun-03
West Indies,lost,55 runs,0,won,2nd,Sri Lanka,Bridgetown,7-Jun-03
Sri Lanka,won,4 wickets,3,lost,2nd,West Indies,Bridgetown,8-Jun-03
West Indies,lost,4 wickets,3,won,1st,Sri Lanka,Bridgetown,8-Jun-03
West Indies,won,6 wickets,31,won,2nd,Sri Lanka,Kingstown,11-Jun-03
Sri Lanka,lost,6 wickets,31,lost,1st,West Indies,Kingstown,11-Jun-03
Pakistan,won,2 wickets,4,lost,2nd,England,Manchester,17-Jun-03
England,lost,2 wickets,4,won,1st,Pakistan,Manchester,17-Jun-03
England,won,7 wickets,168,lost,2nd,Pakistan,The Oval,20-Jun-03
Pakistan,lost,7 wickets,168,won,1st,England,The Oval,20-Jun-03
England,won,4 wickets,9,won,2nd,Pakistan,Lord's,22-Jun-03
Pakistan,lost,4 wickets,9,lost,1st,England,Lord's,22-Jun-03
England,won,6 wickets,25,lost,2nd,South Africa,The Oval,28-Jun-03
South Africa,lost,6 wickets,25,won,1st,England,The Oval,28-Jun-03
South Africa,won,7 wickets,15,lost,2nd,England,Manchester,3-Jul-03
England,lost,7 wickets,15,won,1st,South Africa,Manchester,3-Jul-03
England,won,4 wickets,66,lost,2nd,South Africa,Birmingham,8-Jul-03
South Africa,lost,4 wickets,66,won,1st,England,Birmingham,8-Jul-03
England,won,7 wickets,178,won,2nd,South Africa,Lord's,12-Jul-03
South Africa,lost,7 wickets,178,lost,1st,England,Lord's,12-Jul-03
Pakistan,won,8 runs,0,won,1st,South Africa,Lahore,3-Oct-03
South Africa,lost,8 runs,0,lost,2nd,Pakistan,Lahore,3-Oct-03
Pakistan,won,42 runs,0,lost,1st,South Africa,Lahore,5-Oct-03
South Africa,lost,42 runs,0,won,2nd,Pakistan,Lahore,5-Oct-03
South Africa,won,13 runs,0,lost,2nd,Pakistan,Faisalabad,7-Oct-03
Pakistan,lost,13 runs,0,won,1st,South Africa,Faisalabad,7-Oct-03
South Africa,won,6 wickets,67,lost,2nd,Pakistan,Rawalpindi,10-Oct-03
Pakistan,lost,6 wickets,67,won,1st,South Africa,Rawalpindi,10-Oct-03
South Africa,won,7 wickets,25,lost,2nd,Pakistan,Rawalpindi,12-Oct-03
Pakistan,lost,7 wickets,25,won,1st,South Africa,Rawalpindi,12-Oct-03
India,won,37 runs,0,won,1st,Australia,Gwalior,26-Oct-03
Australia,lost,37 runs,0,lost,2nd,India,Gwalior,26-Oct-03
Australia,won,8 wickets,200,lost,2nd,New Zealand,Faridabad,29-Oct-03
New Zealand,lost,8 wickets,200,won,1st,Australia,Faridabad,29-Oct-03
Australia,won,77 runs,0,won,1st,India,Mumbai,1-Nov-03
India,lost,77 runs,0,lost,2nd,Australia,Mumbai,1-Nov-03
Australia,won,2 wickets,1,won,2nd,New Zealand,Pune,3-Nov-03
New Zealand,lost,2 wickets,1,lost,1st,Australia,Pune,3-Nov-03
New Zealand,won,4 wickets,15,lost,2nd,India,Cuttack,6-Nov-03
India,lost,4 wickets,15,won,1st,New Zealand,Cuttack,6-Nov-03
Australia,won,44 runs,0,lost,1st,New Zealand,Guwahati,9-Nov-03
New Zealand,lost,44 runs,0,won,2nd,Australia,Guwahati,9-Nov-03
Australia,won,61 runs,0,won,1st,India,Bangalore,12-Nov-03
India,lost,61 runs,0,lost,2nd,Australia,Bangalore,12-Nov-03
India,won,145 runs,0,won,1st,New Zealand,Hyderabad (Deccan),15-Nov-03
New Zealand,lost,145 runs,0,lost,2nd,India,Hyderabad (Deccan),15-Nov-03
Sri Lanka,won,10 wickets,217,lost,2nd,England,Dambulla,18-Nov-03
England,lost,10 wickets,217,won,1st,Sri Lanka,Dambulla,18-Nov-03
Australia,won,37 runs,0,won,1st,India,Kolkata,18-Nov-03
India,lost,37 runs,0,lost,2nd,Australia,Kolkata,18-Nov-03
Pakistan,won,3 wickets,12,lost,2nd,New Zealand,Lahore,29-Nov-03
New Zealand,lost,3 wickets,12,won,1st,Pakistan,Lahore,29-Nov-03
Pakistan,won,124 runs,0,won,1st,New Zealand,Lahore,1-Dec-03
New Zealand,lost,124 runs,0,lost,2nd,Pakistan,Lahore,1-Dec-03
Pakistan,won,51 runs,0,won,1st,New Zealand,Faisalabad,3-Dec-03
New Zealand,lost,51 runs,0,lost,2nd,Pakistan,Faisalabad,3-Dec-03
Pakistan,won,7 wickets,52,lost,2nd,New Zealand,Rawalpindi,5-Dec-03
New Zealand,lost,7 wickets,52,won,1st,Pakistan,Rawalpindi,5-Dec-03
Pakistan,won,49 runs,0,won,1st,New Zealand,Rawalpindi,7-Dec-03
New Zealand,lost,49 runs,0,lost,2nd,Pakistan,Rawalpindi,7-Dec-03
New Zealand,won,4 wickets,5,won,2nd,Pakistan,Auckland,3-Jan-04
Pakistan,lost,4 wickets,5,lost,1st,New Zealand,Auckland,3-Jan-04
Pakistan,won,6 wickets,18,won,2nd,New Zealand,Queenstown,7-Jan-04
New Zealand,lost,6 wickets,18,lost,1st,Pakistan,Queenstown,7-Jan-04
Australia,won,18 runs,0,won,1st,India,Melbourne,9-Jan-04
India,lost,18 runs,0,lost,2nd,Australia,Melbourne,9-Jan-04
New Zealand,won,7 wickets,22,won,2nd,Pakistan,Christchurch,10-Jan-04
Pakistan,lost,7 wickets,22,lost,1st,New Zealand,Christchurch,10-Jan-04
New Zealand,won,8 wickets,163,won,2nd,Pakistan,Napier,14-Jan-04
Pakistan,lost,8 wickets,163,lost,1st,New Zealand,Napier,14-Jan-04
New Zealand,won,4 runs,0,won,1st,Pakistan,Wellington,17-Jan-04
Pakistan,lost,4 runs,0,lost,2nd,New Zealand,Wellington,17-Jan-04
India,won,19 runs,0,won,1st,Australia,Brisbane,18-Jan-04
Australia,lost,19 runs,0,lost,2nd,India,Brisbane,18-Jan-04
Australia,won,2 wickets,1,lost,2nd,India,Sydney,22-Jan-04
India,lost,2 wickets,1,won,1st,Australia,Sydney,22-Jan-04
South Africa,won,209 runs,0,won,1st,West Indies,Cape Town,25-Jan-04
West Indies,lost,209 runs,0,lost,2nd,South Africa,Cape Town,25-Jan-04
South Africa,won,16 runs,0,won,1st,West Indies,Port Elizabeth,28-Jan-04
West Indies,lost,16 runs,0,lost,2nd,South Africa,Port Elizabeth,28-Jan-04
Australia,won,5 wickets,108,lost,2nd,India,Perth,1-Feb-04
India,lost,5 wickets,108,won,1st,Australia,Perth,1-Feb-04
West Indies,won,7 wickets,30,lost,2nd,South Africa,Centurion,1-Feb-04
South Africa,lost,7 wickets,30,won,1st,West Indies,Centurion,1-Feb-04
South Africa,won,4 wickets,2,lost,2nd,West Indies,Johannesburg,4-Feb-04
West Indies,lost,4 wickets,2,won,1st,South Africa,Johannesburg,4-Feb-04
Australia,won,7 wickets,59,lost,2nd,India,Melbourne,6-Feb-04
India,lost,7 wickets,59,won,1st,Australia,Melbourne,6-Feb-04
Australia,won,208 runs,0,won,1st,India,Sydney,8-Feb-04
India,lost,208 runs,0,lost,2nd,Australia,Sydney,8-Feb-04
South Africa,won,5 wickets,2,won,2nd,New Zealand,Auckland,13-Feb-04
New Zealand,lost,5 wickets,2,lost,1st,South Africa,Auckland,13-Feb-04
New Zealand,won,5 wickets,29,lost,2nd,South Africa,Christchurch,17-Feb-04
South Africa,lost,5 wickets,29,won,1st,New Zealand,Christchurch,17-Feb-04
New Zealand,won,5 runs,0,lost,1st,South Africa,Wellington,20-Feb-04
South Africa,lost,5 runs,0,won,2nd,New Zealand,Wellington,20-Feb-04
Australia,won,84 runs,0,won,1st,Sri Lanka,Dambulla,20-Feb-04
Sri Lanka,lost,84 runs,0,lost,2nd,Australia,Dambulla,20-Feb-04
Sri Lanka,won,1 runs,0,won,1st,Australia,Dambulla,22-Feb-04
Australia,lost,1 runs,0,lost,2nd,Sri Lanka,Dambulla,22-Feb-04
New Zealand,won,6 wickets,6,won,2nd,South Africa,Dunedin,25-Feb-04
South Africa,lost,6 wickets,6,lost,1st,New Zealand,Dunedin,25-Feb-04
Australia,won,5 wickets,9,lost,2nd,Sri Lanka,Colombo (RPS),25-Feb-04
Sri Lanka,lost,5 wickets,9,won,1st,Australia,Colombo (RPS),25-Feb-04
Australia,won,40 runs,0,won,1st,Sri Lanka,Colombo (RPS),27-Feb-04
Sri Lanka,lost,40 runs,0,lost,2nd,Australia,Colombo (RPS),27-Feb-04
New Zealand,won,2 runs,0,lost,1st,South Africa,Auckland,29-Feb-04
South Africa,lost,2 runs,0,won,2nd,New Zealand,Auckland,29-Feb-04
Sri Lanka,won,3 wickets,13,lost,2nd,Australia,Colombo (SSC),29-Feb-04
Australia,lost,3 wickets,13,won,1st,Sri Lanka,Colombo (SSC),29-Feb-04
New Zealand,won,5 wickets,24,lost,2nd,South Africa,Napier,2-Mar-04
